iter	MultiClass
0	1.944606883
1	1.688778759
2	1.558701351
3	1.460689931
4	1.386673046
5	1.333063582
6	1.30414167
7	1.267696637
8	1.227812043
9	1.200111081
10	1.174093419
11	1.155789888
12	1.139843692
13	1.125616009
14	1.113079021
15	1.104270182
16	1.089282685
17	1.078136915
18	1.06601689
19	1.054865444
20	1.047739201
21	1.040680966
22	1.033227385
23	1.026512928
24	1.016936667
25	1.010887747
26	1.005004565
27	0.9997722822
28	0.9963798134
29	0.9919561117
30	0.9870169053
31	0.9824366325
32	0.9743486514
33	0.9689681771
34	0.963378221
35	0.958987496
36	0.9522775597
37	0.9476024257
38	0.9426827946
39	0.9395877991
40	0.9372895454
41	0.9336962218
42	0.9299999449
43	0.9245154415
44	0.9203132219
45	0.9178251033
46	0.9136420269
47	0.9099938491
48	0.907723225
49	0.9030625457
50	0.8998985042
51	0.8962134684
52	0.8943175133
53	0.8925572705
54	0.8885250547
55	0.8852790582
56	0.8826860898
57	0.878737998
58	0.8747129381
59	0.8731844352
60	0.870459135
61	0.8678007031
62	0.8666205036
63	0.8638765568
64	0.8604927374
65	0.8587219897
66	0.8567146498
67	0.8543093132
68	0.8518291151
69	0.8495662061
70	0.8474422602
71	0.8452594104
72	0.8432342504
73	0.8417791627
74	0.8400869152
75	0.8384555208
76	0.8364626346
77	0.8341792443
78	0.8325277739
79	0.8309610307
80	0.8294167675
81	0.8278418668
82	0.8254934606
83	0.8238555414
84	0.8212765695
85	0.8191832573
86	0.8173053553
87	0.8149777269
88	0.8125147099
89	0.8106329787
90	0.808995347
91	0.8069940077
92	0.8053636207
93	0.8040509473
94	0.8015909109
95	0.7991410417
96	0.7976901783
97	0.7962742373
98	0.7944314763
99	0.7931374336
100	0.791831186
101	0.7900549165
102	0.7874082228
103	0.7851911766
104	0.7832145047
105	0.7815635188
106	0.7804915105
107	0.7792956232
108	0.7780960581
109	0.7771537242
110	0.7755337576
111	0.7741326597
112	0.7722994183
113	0.7710194153
114	0.7691712045
115	0.768199097
116	0.766818218
117	0.7649535978
118	0.7630230096
119	0.7612110145
120	0.7598251778
121	0.7587494166
122	0.7579897865
123	0.7567547464
124	0.7549632594
125	0.7538646773
126	0.7517817746
127	0.74963062
128	0.7480252268
129	0.7472463959
130	0.7453974653
131	0.743891948
132	0.7412844917
133	0.7401173907
134	0.7392006908
135	0.7370971752
136	0.7356152042
137	0.7346114343
138	0.7331406614
139	0.732058633
140	0.73122123
141	0.7307440412
142	0.7298780001
143	0.7283631304
144	0.7270982985
145	0.7251052778
146	0.7239480503
147	0.7221279015
148	0.7208152213
149	0.7198406711
150	0.719252979
151	0.7186026824
152	0.7174528361
153	0.7162022037
154	0.7144180711
155	0.7135488583
156	0.713085344
157	0.7117593505
158	0.7107859645
159	0.7092656036
160	0.7079229851
161	0.7060299061
162	0.7048072607
163	0.7043688187
164	0.7030225756
165	0.7016592674
166	0.7008898534
167	0.6998328347
168	0.6988913932
169	0.6982325168
170	0.6977046395
171	0.6963165685
172	0.6945408578
173	0.6932698245
174	0.6921838618
175	0.6909309756
176	0.6897561157
177	0.6879893804
178	0.6870474579
179	0.6863336548
180	0.6851423939
181	0.6845245741
182	0.6834534536
183	0.6827052003
184	0.6816833217
185	0.6811183031
186	0.68029004
187	0.6786626667
188	0.6776210263
189	0.6764464441
190	0.675181707
191	0.6740218442
192	0.6734385497
193	0.6722662807
194	0.6715018149
195	0.6696082758
196	0.668964733
197	0.6682541373
198	0.6677392962
199	0.6671397196
200	0.6660164607
201	0.6654904911
202	0.6641768493
203	0.6630591156
204	0.662053338
205	0.6612786718
206	0.6601669284
207	0.6594239256
208	0.6588276116
209	0.6578824242
210	0.656359891
211	0.6553168016
212	0.6549217209
213	0.6541178439
214	0.653347485
215	0.6521652282
216	0.6506999696
217	0.649584329
218	0.6490794243
219	0.6473054103
220	0.646704338
221	0.6457777691
222	0.6447728065
223	0.6442479458
224	0.6431471594
225	0.6424362456
226	0.6413392046
227	0.6405977819
228	0.6397892955
229	0.638244038
230	0.637315222
231	0.636056321
232	0.6350431965
233	0.6341687194
234	0.6333728139
235	0.6327375489
236	0.6322598935
237	0.6317100361
238	0.6309815521
239	0.6288570531
240	0.6273316518
241	0.6256287654
242	0.6247825066
243	0.623451276
244	0.6228919128
245	0.6222549724
246	0.6214447632
247	0.6201614224
248	0.6192716461
249	0.6187453837
250	0.6178656463
251	0.6171575454
252	0.6167589773
253	0.6156910598
254	0.6147858785
255	0.6141102848
256	0.6133045893
257	0.6120618496
258	0.6114686705
259	0.6100377676
260	0.6088525527
261	0.6083410261
262	0.6072835193
263	0.6068767149
264	0.6061625336
265	0.6054776801
266	0.6049427356
267	0.6044335547
268	0.6035076519
269	0.6025992071
270	0.6016640126
271	0.6011927679
272	0.5997481378
273	0.5982108812
274	0.5974926329
275	0.5965845886
276	0.5954236873
277	0.594249783
278	0.5931691149
279	0.5922672379
280	0.5912787482
281	0.5907164352
282	0.5900297184
283	0.5896374916
284	0.5889873672
285	0.588345019
286	0.5876252802
287	0.586212406
288	0.5852666473
289	0.5840098639
290	0.5834061304
291	0.5825145663
292	0.5815396631
293	0.5809896299
294	0.5805729027
295	0.5798970125
296	0.5788964428
297	0.5784583015
298	0.5776841344
299	0.5768434391
